ts,rot,invx,invy,panx,pany,ks_h,ks_v,pin_x,pin_y,lead,opix,opix_exp,eol,starved,result,tl_x,tl_y,tr_x,tr_y,br_x,br_y,bl_x,bl_y
1782670205,0,4096,4096,0,0,0,0,0,0,8192,2073600,2073600,1080,11127,FULL,100,-100,100,-100,100,-100,-100,-100
1782670206,0,4096,4096,0,0,0,0,0,0,12288,2073600,2073600,1080,11127,FULL,100,-100,100,-100,100,-100,-100,-100
1782670207,0,4096,4096,0,0,0,0,0,0,16384,2073600,2073600,1080,11127,FULL,100,-100,100,-100,100,-100,-100,-100
1782670209,0,4096,4096,0,0,0,0,0,0,24576,2073600,2073600,1080,11127,FULL,100,-100,100,-100,100,-100,-100,-100
1782670218,0,4096,4096,0,0,0,0,0,0,4096,2073600,2073600,1080,11127,FULL,-100,100,100,-100,100,-100,-100,-100
1782670218,0,4096,4096,0,0,0,0,0,0,6144,2073600,2073600,1080,11127,FULL,-100,100,100,-100,100,-100,-100,-100
1782670219,0,4096,4096,0,0,0,0,0,0,8192,2073600,2073600,1080,11127,FULL,-100,100,100,-100,100,-100,-100,-100
1782670220,0,4096,4096,0,0,0,0,0,0,12288,2073600,2073600,1080,11127,FULL,-100,100,100,-100,100,-100,-100,-100
1782670222,0,4096,4096,0,0,0,0,0,0,16384,2073600,2073600,1080,11127,FULL,-100,100,100,-100,100,-100,-100,-100
1782670223,0,4096,4096,0,0,0,0,0,0,24576,2073600,2073600,1080,11127,FULL,-100,100,100,-100,100,-100,-100,-100
1782670232,0,4096,4096,0,0,0,0,0,0,4096,2073600,2073600,1080,11506,FULL,100,100,100,-100,100,-100,-100,-100
1782670233,0,4096,4096,0,0,0,0,0,0,6144,2073600,2073600,1080,11534,FULL,100,100,100,-100,100,-100,-100,-100
1782670234,0,4096,4096,0,0,0,0,0,0,8192,2073600,2073600,1080,11472,FULL,100,100,100,-100,100,-100,-100,-100
1782670235,0,4096,4096,0,0,0,0,0,0,12288,2073600,2073600,1080,11482,FULL,100,100,100,-100,100,-100,-100,-100
1782670236,0,4096,4096,0,0,0,0,0,0,16384,2073600,2073600,1080,11467,FULL,100,100,100,-100,100,-100,-100,-100
1782670237,0,4096,4096,0,0,0,0,0,0,24576,2073600,2073600,1080,11467,FULL,100,100,100,-100,100,-100,-100,-100
1782670246,0,4096,4096,0,0,0,0,0,0,4096,2073600,2073600,1080,11127,FULL,-100,-100,-100,100,100,-100,-100,-100
1782670247,0,4096,4096,0,0,0,0,0,0,6144,2073600,2073600,1080,11127,FULL,-100,-100,-100,100,100,-100,-100,-100
1782670248,0,4096,4096,0,0,0,0,0,0,8192,2073600,2073600,1080,11127,FULL,-100,-100,-100,100,100,-100,-100,-100
